Function,Gene
GO:0050790,26086
GO:0004329,25902
GO:0004488,25902
GO:0009396,25902
GO:0005198,1213
GO:0019901,1213
GO:0030130,1213
GO:0030132,1213
GO:0005657,29128
GO:0005720,29128
GO:0010216,29128
GO:0010390,29128
GO:0016363,29128
GO:0031410,29128
GO:0031493,29128
GO:0043434,29128
GO:0044729,29128
GO:0051865,29128
GO:0061630,29128
GO:0046856,27124
GO:0008653,313
GO:0050528,313
GO:0050728,313
GO:0004550,4833
GO:0006165,4833
GO:0006183,4833
GO:0006228,4833
GO:0006241,4833
GO:0006260,5982
GO:0002540,241
GO:0002675,241
GO:0004051,241
GO:0005635,241
GO:0005783,241
GO:0019370,241
GO:0019372,241
GO:0019899,241
GO:0042803,241
GO:0070207,241
GO:0005504,51100
GO:0006654,51100
GO:0042171,51100
GO:0043234,51100
GO:0043552,51100
GO:0048102,51100
GO:0051084,51100
GO:1900740,51100
GO:1902254,51100
GO:1902255,51100
GO:1903778,51100
GO:2000786,51100
GO:0006281,2176
GO:0043240,2176
GO:0042626,22
GO:0007034,25978
GO:0030672,6854
GO:0097481,6854
GO:0006261,5425
GO:0043625,5425
GO:0005086,9922
GO:0032012,9922
GO:0006888,27095
GO:0030008,27095
GO:0005125,3447
GO:0032281,51299
GO:0046658,51299
GO:1990138,51299
GO:0003351,27019
GO:0007368,27019
GO:0006336,23523
GO:0001736,23322
GO:0006885,84679
GO:0015385,84679
GO:0022625,51538
GO:0046548,128408
GO:0046671,128408
GO:0048050,128408
GO:0005884,55823
GO:0030123,55823
GO:0033263,55823
GO:1901998,55823
GO:0000777,728637
GO:0000780,728637
GO:0007060,728637
GO:0010789,728637
GO:0016321,728637
GO:0045143,728637
GO:0051754,728637
GO:0004879,3172
GO:0030522,3172
GO:0001522,83480
GO:0008033,83480
GO:0009982,83480
GO:0005328,6533
GO:0005369,6533
GO:0006836,6533
GO:0015734,6533
GO:0030977,6533
GO:1903825,6533
GO:0000439,2967
GO:0071203,387680
GO:0001959,100133941
GO:0002237,100133941
GO:0002329,100133941
GO:0002523,100133941
GO:0002842,100133941
GO:0002863,100133941
GO:0002904,100133941
GO:0007157,100133941
GO:0007159,100133941
GO:0007166,100133941
GO:0007274,100133941
GO:0007406,100133941
GO:0008637,100133941
GO:0010976,100133941
GO:0030262,100133941
GO:0030889,100133941
GO:0031362,100133941
GO:0031528,100133941
GO:0032600,100133941
GO:0033625,100133941
GO:0033634,100133941
GO:0034107,100133941
GO:0034109,100133941
GO:0034119,100133941
GO:0042103,100133941
GO:0045577,100133941
GO:0045665,100133941
GO:0046014,100133941
GO:0046641,100133941
GO:0048488,100133941
GO:0050731,100133941
GO:0050850,100133941
GO:0060170,100133941
GO:0097190,100133941
GO:0005516,3782
GO:0016286,3782
GO:0008344,26470
GO:0021680,26470
GO:0043025,26470
GO:0060074,26470
GO:0090036,26470
GO:0000151,10001
GO:0001104,10001
GO:0016592,10001
GO:0001516,10728
GO:0005978,10728
GO:0008283,10728
GO:0042921,10728
GO:0043588,10728
GO:0060430,10728
GO:0006590,1081
GO:0008406,1081
GO:0030878,1081
GO:0032275,1081
GO:0032870,1081
GO:0046621,1081
GO:0046884,1081
GO:0048589,1081
GO:0031436,580
GO:0006310,9401
GO:0015630,9053
GO:0005216,100533181
GO:0031532,29780
GO:0000795,6847
GO:0007130,6847
GO:0000785,9324
GO:0031492,9324
GO:0051091,9324
GO:0061178,9324
GO:0001696,115111
GO:0008271,115111
GO:0016323,115111
GO:1902358,115111
GO:0004449,3420
GO:0010807,63908
GO:0019905,63908
GO:0035249,63908
GO:0035494,63908
GO:0070044,63908
GO:0004623,26279
GO:0031514,2622
GO:0048870,2622
GO:0032421,374462
GO:0050885,374462
GO:0050910,374462
GO:0060116,374462
GO:0000828,23262
GO:0033857,23262
GO:0008104,8447
GO:0031340,8447
GO:0032024,8447
GO:0045956,8447
GO:0048791,8447
GO:0098793,8447
GO:0005814,7840
GO:0007286,7840
GO:0019722,7840
GO:0030728,7840
GO:0040015,7840
GO:0042593,7840
GO:0045598,7840
GO:0050673,7840
GO:0000015,387712
GO:0004634,387712
GO:0004359,27165
GO:0006541,27165
GO:0022891,66035
GO:0021702,652991
GO:0021936,652991
GO:0030512,652991
GO:0030514,652991
GO:0045880,652991
GO:0046332,652991
GO:0048468,652991
GO:0048814,652991
GO:0004903,2690
GO:0009755,2690
GO:0019903,2690
GO:0032094,2690
GO:0032869,2690
GO:0042169,2690
GO:0042977,2690
GO:0043278,2690
GO:0045597,2690
GO:0051384,2690
GO:0060351,2690
GO:0060396,2690
GO:0070555,2690
GO:1901215,2690
GO:0019239,51816
GO:0001764,4139
GO:0050321,4139
GO:0044292,440435
GO:0072659,440435
GO:0008418,123803
GO:0006913,22931
GO:0019827,26147
GO:0035098,26147
GO:0048863,26147
GO:0061087,26147
GO:0042738,1564
GO:0070330,1564
GO:0019904,23647
GO:0016651,4698
GO:0022904,4698
GO:0008180,64708
GO:0048024,9589
GO:0017089,84725
GO:0046836,84725
GO:0051861,84725
GO:0003823,962
GO:0042110,962
GO:0045576,962
GO:0030111,30851
GO:0043560,11180
GO:0004601,5742
GO:0004666,5742
GO:0008217,5742
GO:0019371,5742
GO:0001666,4582
GO:0007565,4582
GO:0030855,4582
GO:0071300,4582
GO:0016234,5706
GO:0022624,5706
GO:0031597,5706
GO:0090261,5706
GO:0009986,4261
GO:0045348,4261
GO:0071257,4261
GO:0071346,4261
GO:0071360,4261
GO:0016462,158471
GO:0042742,100129216
GO:0007520,90342
GO:0010387,2873
GO:0010388,2873
GO:0006122,440567
GO:0008121,440567
GO:0070469,440567
GO:0006953,100528017
GO:0000165,11183
GO:0000185,11183
GO:0008349,11183
GO:0004303,3292
GO:0006703,3292
GO:0001568,3910
GO:0005605,3910
GO:0050873,3910
GO:0002138,5947
GO:0006776,5947
GO:0019841,5947
GO:0030852,5947
GO:0033189,5947
GO:0044297,5947
GO:0030215,57556
GO:0051642,57556
GO:2001224,57556
GO:0045171,375316
GO:0006636,3992
GO:0009744,3992
GO:0016717,3992
GO:0019369,3992
GO:0032868,3992
GO:0035900,3992
GO:0000381,8241
GO:0034393,8241
GO:0048025,8241
GO:0070935,8241
GO:0007416,9369
GO:0051965,9369
GO:0090129,9369
GO:0003951,65220
GO:0006741,65220
GO:0019674,65220
GO:0005911,23136
GO:0007016,23136
GO:0019898,23136
GO:0030866,23136
GO:0008201,351
GO:0046914,351
GO:0034713,58533
GO:0004719,5110
GO:0051382,387103
GO:0006626,4580
GO:0009411,840
GO:0016485,840
GO:0051402,840
GO:0097153,840
GO:0097194,840
GO:0005916,4892
GO:0005927,4892
GO:0017166,4892
GO:0030016,4892
GO:0051371,4892
GO:0016772,8790
GO:0016589,6594
GO:0031491,6594
GO:0015672,55151
GO:0030296,10006
GO:0061098,10006
GO:0030176,6238
GO:0016125,84650
GO:0047750,84650
GO:0008321,57139
GO:0045010,2934
GO:0051014,2934
GO:0051016,2934
GO:0004683,818
GO:0007608,5137
GO:0010977,3601
GO:0031667,3601
GO:0032825,3601
GO:0004016,109
GO:0006171,109
GO:0001545,2492
GO:0003073,2492
GO:0004963,2492
GO:0007193,2492
GO:0007200,2492
GO:0009992,2492
GO:0010640,2492
GO:0017046,2492
GO:0032350,2492
GO:0033044,2492
GO:0033148,2492
GO:0035093,2492
GO:0042699,2492
GO:0043408,2492
GO:0045056,2492
GO:0045670,2492
GO:0045779,2492
GO:0060009,2492
GO:0060011,2492
GO:0060065,2492
GO:0060408,2492
GO:0071711,2492
GO:0004945,185
GO:0019229,185
GO:0038166,185
GO:0009056,9317
GO:0001965,26086
GO:0002238,4615
GO:0005121,4615
GO:0005149,4615
GO:0007254,4615
GO:0008063,4615
GO:0009682,4615
GO:0031663,4615
GO:0032494,4615
GO:0032740,4615
GO:0032747,4615
GO:0032755,4615
GO:0032760,4615
GO:0044130,4615
GO:0045080,4615
GO:0045351,4615
GO:0046330,4615
GO:0050671,4615
GO:0050830,4615
GO:0090557,4615
GO:1902622,4615
GO:2000338,4615
GO:2000341,4615
GO:0002397,6892
GO:0042824,6892
GO:0070734,2145
GO:0005759,2232
GO:0010332,5788
GO:0047017,127281
GO:0001518,6331
GO:0005248,6331
GO:0060078,6331
GO:0015039,2232
GO:0070402,2232
GO:0070995,2232
GO:0005355,50651
GO:1904659,50651
GO:0006552,3712
GO:0008470,3712
GO:0007585,6440
GO:0023051,4008
GO:0006811,11309
GO:0005139,3574
GO:0045453,3574
GO:0045582,3574
GO:0001725,10603
GO:0001726,10603
GO:0001922,10603
GO:0005068,10603
GO:0005070,10603
GO:0008286,10603
GO:0009967,10603
GO:0019222,10603
GO:0046578,10603
GO:0050851,10603
GO:0004996,7253
GO:0030183,7253
GO:0038194,7253
GO:0040012,7253
GO:0040018,7253
GO:0090103,7253
GO:0017171,57552
GO:0042301,57552
GO:0060395,57552
GO:0060070,6934
GO:2001237,6934
GO:0000790,10370
GO:0001102,10370
GO:0001105,10370
GO:0001829,10370
GO:0001843,10370
GO:0001892,10370
GO:0001947,10370
GO:0002089,10370
GO:0003151,10370
GO:0003156,10370
GO:0003197,10370
GO:0007179,10370
GO:0007417,10370
GO:0007422,10370
GO:0007530,10370
GO:0007569,10370
GO:0008584,10370
GO:0009612,10370
GO:0021602,10370
GO:0022409,10370
GO:0030511,10370
GO:0030851,10370
GO:0035802,10370
GO:0035914,10370
GO:0045787,10370
GO:0046697,10370
GO:0048536,10370
GO:0048538,10370
GO:0048596,10370
GO:0048821,10370
GO:0060136,10370
GO:0060412,10370
GO:0060971,10370
GO:0061156,10370
GO:0061308,10370
GO:0070986,10370
GO:1900164,10370
GO:2000020,10370
GO:0015026,56963
GO:0030509,56963
GO:0030510,56963
GO:0043005,56963
GO:0048671,56963
GO:0048681,56963
GO:0005178,63923
GO:0007409,63923
GO:0006782,3658
GO:0009791,3658
GO:0010040,3658
GO:0017148,3658
GO:0030350,3658
GO:0030371,3658
GO:0032526,3658
GO:0034101,3658
GO:0050892,3658
GO:0071456,3658
GO:0060402,56302
GO:0005164,407977
GO:0005672,286749
GO:0030041,100526693
GO:0010906,7033
GO:0030272,100528021
GO:0001791,83953
GO:0019862,83953
GO:0004430,5298
GO:0005003,285220
GO:0001655,3070
GO:0005721,3070
GO:0006306,3070
GO:0006346,3070
GO:0031508,3070
GO:0046651,3070
GO:2001243,3070
GO:0019706,131540
GO:0006940,10874
GO:0016773,23729
GO:2000384,7178
GO:0032998,2206
GO:0038095,2206
GO:0072583,23149
GO:0008398,1595
GO:0033488,1595
GO:0070988,1595
GO:0031618,23030
GO:0032454,23030
GO:0033169,23030
GO:0070544,23030
GO:1900113,23030
GO:0009072,2954
GO:0016853,2954
GO:0001816,23318
GO:0010586,23318
GO:0031123,23318
GO:0031664,23318
GO:0032088,23318
GO:0050265,23318
GO:0070102,23318
GO:0008053,55669
GO:0000060,2646
GO:0001678,2646
GO:0004857,2646
GO:0009750,2646
GO:0033132,2646
GO:0033133,2646
GO:0022617,9622
GO:0097186,9622
GO:0001106,8409
GO:0043407,81848
GO:0015301,65010
GO:0051454,65010
GO:0047484,2993
GO:0001917,25861
GO:0002142,25861
GO:0021694,25861
GO:0032391,25861
GO:0032426,25861
GO:0045184,25861
GO:1990075,25861
GO:1990227,25861
GO:1990696,25861
GO:0006606,3621
GO:0010811,11117
GO:0030023,11117
GO:0030198,11117
GO:0034244,7469
GO:0051571,7469
GO:0004065,410
GO:0007339,410
GO:0007584,410
GO:0009268,410
GO:0031232,410
GO:0043627,410
GO:0045471,410
GO:0051597,410
GO:0009008,1788
GO:0000781,4683
GO:0007093,4683
GO:0030870,4683
GO:0000028,3921
GO:0005055,3921
GO:0022627,3921
GO:0005778,5189
GO:0042623,5189
GO:0006301,6596
GO:0000179,27292
GO:0031167,27292
GO:0000079,81669
GO:0004652,10914
GO:0043631,10914
GO:0004170,1854
GO:0046080,1854
GO:0030492,3240
GO:0016233,65057
GO:0070187,65057
GO:0019005,79791
GO:0030332,79791
GO:0031146,79791
GO:0031571,79791
GO:0019079,10542
GO:0043154,10542
GO:0071986,10542
GO:0003910,3981
GO:0051103,3981
GO:0015991,537
GO:0033180,537
GO:0021772,123016
GO:0032880,123016
GO:0034260,123016
GO:0034464,123016
GO:0035264,123016
GO:0060219,123016
GO:0061326,123016
GO:0004796,6916
GO:0030644,6916
GO:0045907,6916
GO:0017176,51227
GO:0030165,4355
GO:0000976,1408
GO:0019915,1408
GO:0035257,1408
GO:0042754,1408
GO:0043153,1408
GO:2000323,1408
GO:2000850,1408
GO:0034773,84787
GO:0042799,84787
GO:0006744,51004
GO:0016709,51004
GO:0016888,83940
GO:0042578,8867
GO:0007096,8556
GO:0015078,245973
GO:0031424,448835
GO:0008093,10634
GO:0009267,10634
GO:0015293,84561
GO:0016554,54502
GO:0030992,79989
GO:0042073,79989
GO:0072372,79989
GO:0097542,79989
GO:0003674,92305
GO:0005575,92305
GO:0008150,92305
GO:0030970,92305
GO:1904264,92305
GO:0001078,79733
GO:0001890,79733
GO:0002040,79733
GO:0032466,79733
GO:0032877,79733
GO:0033301,79733
GO:0060707,79733
GO:0060718,79733
GO:0070365,79733
GO:0004839,55236
GO:0007612,55236
GO:0019780,55236
GO:0021764,55236
GO:0021766,55236
GO:0042787,55236
GO:0060996,55236
GO:0008429,57488
GO:0031210,57488
GO:0031227,57488
GO:0031234,57488
GO:0044232,57488
GO:0005875,57698
GO:0006930,57698
GO:0030175,57698
GO:0030424,57698
GO:0030426,57698
GO:0031252,57698
GO:0032488,57698
GO:0038007,57698
GO:0043204,57698
GO:0044295,57698
GO:0045773,57698
GO:0048812,57698
GO:0060327,57698
GO:0061163,57698
GO:0061573,57698
GO:0017121,389158
GO:0017128,389158
GO:0070062,125206
GO:0010507,92196
GO:0034198,92196
GO:0070513,92196
GO:0001227,389549
GO:0021797,389549
GO:0045666,389549
GO:0016266,727936
GO:0035252,727936
GO:0051291,144404
GO:0000421,345611
GO:0001891,345611
GO:0030670,345611
GO:0042995,345611
GO:0005229,338440
GO:0061589,338440
GO:0061590,338440
GO:0061591,338440
GO:1902939,338440
GO:0008514,63027
GO:0015711,63027
GO:0001934,54959
GO:0031214,54959
GO:0043205,54959
GO:0044267,54959
GO:0060054,54959
GO:0071944,54959
GO:0042744,137902
GO:0061631,134111
GO:0000801,644186
GO:0007131,644186
GO:0051301,644186
GO:0009922,79993
GO:0019367,79993
GO:0034626,79993
GO:0035338,79993
GO:0042761,79993
GO:0001968,284297
GO:0042494,284297
GO:0050840,284297
GO:0001501,285590
GO:0001654,285590
GO:0002102,285590
GO:0006801,285590
GO:0010314,285590
GO:0045600,285590
GO:0060612,285590
GO:0070273,285590
GO:0071800,285590
GO:0072657,285590
GO:0080025,285590
GO:1903025,201501
GO:0019213,140733
GO:0042278,140733
GO:0051725,140733
GO:0030308,340152
GO:0061158,340152
GO:2000134,340152
GO:0001964,65217
GO:0002009,65217
GO:0007628,65217
GO:0032403,65217
GO:0035058,65217
GO:0047485,65217
GO:0050973,65217
GO:0051592,65217
GO:0060013,65217
GO:0060088,65217
GO:0007616,10919
GO:0009566,10919
GO:0010424,10919
GO:0035265,10919
GO:0035690,10919
GO:0044030,10919
GO:0046974,10919
GO:0046976,10919
GO:0051567,10919
GO:0051569,10919
GO:0051570,10919
GO:0060992,10919
GO:0070742,10919
GO:1902902,10919
GO:0003009,124093
GO:0016529,124093
GO:0030030,124093
GO:0000712,164045
GO:0000956,51594
GO:0070939,51594
GO:2000623,51594
GO:0004829,123283
GO:0006435,123283
GO:0033089,9840
GO:0050862,9840
GO:0006554,123688
GO:0047992,123688
GO:0048026,3167
GO:0050908,285331
GO:0060060,285331
GO:0000049,129450
GO:0006400,129450
GO:0031591,129450
GO:0003056,151
GO:0004938,151
GO:0070474,151
GO:0071875,151
GO:0008333,22898
GO:0017112,22898
GO:0044257,22898
GO:1900758,267012
GO:0006004,282969
GO:0016857,282969
GO:0036065,282969
GO:0042806,282969
GO:0060180,282969
GO:0033088,23240
GO:0035269,729920
GO:0050518,729920
GO:0030162,54103
GO:1902004,54103
GO:0042254,85865
GO:0051604,136242
GO:0050907,392138
GO:0043197,392862
GO:0060292,392862
GO:0043235,91355
GO:0044332,91355
GO:0003281,129446
GO:0055008,129446
GO:0001895,728378
GO:0005938,728378
GO:0010890,161247
GO:0034389,161247
GO:0000813,55048
GO:0019058,55048
GO:0031902,55048
GO:0036258,55048
GO:0039702,55048
GO:0048306,55048
GO:0075733,55048
GO:0005930,115948
GO:0036158,115948
GO:1902017,115948
GO:0006950,1647
GO:0002223,122706
GO:0002479,122706
GO:0006521,122706
GO:0031145,122706
GO:0033209,122706
GO:0043161,122706
GO:0051437,122706
GO:0060071,122706
GO:0030182,5662
GO:0004402,7994
GO:0043966,7994
GO:0048513,7994
GO:0070776,7994
GO:0005232,285242
GO:0005892,285242
GO:0007271,285242
GO:0042166,285242
GO:0015464,285242
GO:0006977,23019
GO:0030014,23019
GO:0030015,23019
GO:0030331,23019
GO:0033147,23019
GO:0035195,23019
GO:0060213,23019
GO:0061014,23019
GO:0070016,23019
GO:0090503,23019
GO:1900153,23019
GO:2000036,23019
GO:0004535,23019
GO:0006548,57571
GO:0035499,57571
GO:0047730,57571
GO:0010842,84465
GO:0004859,390940
GO:0001819,283234
GO:0042102,283234
GO:0050870,283234
GO:0042471,2138
GO:0000045,643246
GO:0000422,643246
GO:0006995,643246
GO:0012505,643246
GO:0031463,123103
GO:0032184,643904
GO:0033234,643904
GO:0033768,643904
GO:0021854,137814
GO:0035050,137814
GO:0043586,137814
GO:0048565,137814
GO:0055014,137814
GO:0055015,137814
GO:0060037,137814
GO:0060039,137814
GO:0007338,390243
GO:0007342,390243
GO:0035036,390243
GO:0005549,401994
GO:0006742,554235
GO:0033735,554235
GO:0001960,342979
GO:0000121,283871
GO:0006114,283871
GO:0006650,283871
GO:0008967,283871
GO:0043136,283871
GO:0045721,283871
GO:0098519,283871
GO:0031338,414059
GO:0090630,414059
GO:0040008,51754
GO:0008327,653656
GO:0045071,388419
GO:0000350,340390
GO:0071013,340390
GO:0000386,340390
GO:0008585,101927581
GO:0031301,388630
GO:0032461,388630
GO:1904808,388630
GO:0001967,391723
GO:0010259,391723
GO:0021858,391723
GO:0019433,646486
GO:0005902,643226
GO:0010360,285966
GO:0044325,285966
GO:0090314,285966
GO:0001956,84062
GO:0016226,644096
GO:0034553,644096
GO:0030048,644150
GO:0051127,644150
GO:0000147,644150
GO:0030479,644150
GO:0051666,644150
GO:0019428,646625
GO:0019628,646625
GO:0050896,388939
GO:0007566,441161
GO:0009880,441161
GO:0035088,441161
GO:0045177,441161
GO:0009306,780776
GO:0030173,780776
GO:0001817,7187
GO:0050688,7187
GO:0048663,100170841
GO:0001740,23347
GO:0060821,23347
GO:0000784,23347
GO:0060135,340784
GO:0001228,343930
GO:0001756,343930
GO:0007379,343930
GO:0007517,389827
GO:0045026,389827
GO:0035869,84747
GO:0042953,84747
GO:0022604,126374
GO:0035331,126374
GO:2000637,126374
GO:0001709,157848
GO:0002067,157848
GO:0030857,157848
GO:0070475,196074
GO:0071424,196074
GO:0030318,100506049
GO:0001502,340260
GO:0007389,340260
GO:0021516,340260
GO:0021889,340260
GO:0035726,340260
GO:0002760,730249
GO:0032480,730249
GO:0034136,730249
GO:0034144,730249
GO:0035458,730249
GO:0045824,730249
GO:0047613,730249
GO:0071219,730249
GO:0071222,730249
GO:0071347,730249
GO:0071356,730249
GO:0071393,730249
GO:0072573,730249
GO:2000379,730249
GO:0009107,387787
GO:0009249,387787
GO:0016415,387787
GO:0033819,387787
GO:0046487,387787
GO:0042461,94137
GO:0007506,64591
GO:0043296,317762
GO:0000042,653489
GO:0048172,729956
GO:0070449,100506888
GO:0006906,388125
GO:0017158,388125
GO:0008568,401720
GO:0010569,401720
GO:0002081,170370
GO:0080154,170370
GO:2000344,170370
GO:0021521,120237
GO:0007631,3061
GO:0016499,3061
GO:0005845,253314
GO:0006417,253314
GO:0030574,131873
GO:0015095,57185
GO:0015693,57185
GO:1903830,57185
GO:0009593,644168
GO:0021559,644168
GO:0050954,644168
GO:0030282,387733
GO:0030500,387733
GO:0010880,201140
GO:0014801,201140
GO:0000124,389856
GO:0016578,389856
GO:0000339,392517
GO:0005846,392517
GO:0045292,392517
GO:0032437,148930
GO:0052856,374887
GO:0052857,374887
GO:0032982,57644
GO:0050890,55084
GO:0090102,55084
GO:0046825,3429
GO:0005770,100287171
GO:0005776,100287171
GO:0031274,100287171
GO:0031901,100287171
GO:0055037,100287171
GO:0055038,100287171
GO:0071437,100287171
GO:1990126,100287171
GO:0052548,144568
GO:0030838,643338
GO:0042589,1179
GO:0000086,9814
GO:0010923,9814
GO:0000467,112479
GO:0016810,150223
GO:1902711,200959
GO:0034334,4301
GO:0048872,4301
GO:0050839,4301
GO:0060019,4301
GO:0060563,4301
GO:0070445,4301
GO:0070086,54492
GO:0002062,100526772
GO:0035988,100526772
GO:0042246,100526772
GO:0031297,201254
GO:0031398,201254
GO:0036297,201254
GO:0071821,201254
GO:0003690,201254
GO:0001664,346562
GO:0007188,346562
GO:0035094,346562
GO:0050913,346562
GO:0050916,346562
GO:0050917,346562
GO:0043047,25913
GO:0009953,344022
GO:0030903,344022
GO:0097500,92482
GO:0031430,219537
GO:0031674,219537
GO:0043292,219537
GO:0045908,219537
GO:0030395,148003
GO:0003708,5914
GO:0048384,5914
GO:0000407,441925
GO:0016023,441925
GO:0032258,441925
GO:0034271,441925
GO:0034272,441925
GO:0044804,441925
GO:0045324,441925
GO:1990172,441925
GO:0000800,101928601
GO:0007129,101928601
GO:0042138,101928601
GO:0048477,101928601
GO:0015074,124751
GO:0060118,389207
GO:0060119,389207
GO:0005587,1288
GO:0071230,1288
GO:0005782,390916
GO:0033540,390916
GO:0047617,390916
GO:0016303,5289
GO:0036092,5289
GO:0005267,157855
GO:0060072,157855
GO:0001533,645027
GO:0019215,645027
GO:0006607,402569
GO:0008139,402569
GO:0019054,402569
GO:0001191,57491
GO:0009410,57491
GO:0034753,57491
GO:0006662,255220
GO:0002456,64005
GO:0005546,64005
GO:0005547,64005
GO:0031256,64005
GO:0031589,64005
GO:0043325,64005
GO:0071976,64005
GO:0072678,64005
GO:0090141,54471
GO:0006959,7942
GO:0018812,9200
GO:0030148,9200
GO:0030497,9200
GO:0034622,9200
GO:0046848,9200
GO:0071529,9200
GO:0080023,9200
GO:0003684,2547
GO:0006303,2547
GO:0042162,2547
GO:0043564,2547
GO:0030046,83715
GO:0051491,83715
GO:0051494,83715
GO:0014704,832
GO:0030032,832
GO:0030863,832
GO:0031105,23157
GO:0045916,1604
GO:0060137,1604
GO:0003872,5214
GO:0006002,5214
GO:0061615,5214
GO:0004396,3098
GO:0005536,3098
GO:0046835,3098
GO:0050290,55627
GO:0002227,8339
GO:0002227,8343
GO:0002227,8344
GO:0002227,8346
GO:0002227,8347
GO:0019731,8339
GO:0019731,8343
GO:0019731,8344
GO:0019731,8346
GO:0019731,8347
GO:0008276,29104
GO:0016461,4649
GO:0042025,730130
GO:0051213,390245
GO:0008235,64174
GO:0008239,64174
GO:0009082,587
GO:0052654,587
GO:0052655,587
GO:0052656,587
GO:0001527,8076
GO:0016327,283953
GO:0004416,84264
GO:0019243,84264
GO:0005765,1201
GO:0007567,59350
GO:0042562,59350
GO:0060427,59350
