# GO_ID	C0	C1	Gene	C3	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16
GO:0005509	UniProtKB	A0A024QZ42	PDCD6		GO_REF:0000002	IEA	InterPro:IPR002048	F	HCG1985580, isoform CRA_c	A0A024QZ42_HUMAN|PDCD6|hCG_1985580	protein	taxon:9606	20160409	InterPro		
GO:0003677	UniProtKB	A0A024R0Y4	TADA2L		GO_REF:0000002	IEA	InterPro:IPR009057	F	Transcriptional adapter 2-alpha	A0A024R0Y4_HUMAN|TADA2L|TADA2A|hCG_28187	protein	taxon:9606	20160409	InterPro		
GO:0005671	UniProtKB	A0A024R0Y4	TADA2L		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000018795	C	Transcriptional adapter 2-alpha	A0A024R0Y4_HUMAN|TADA2L|TADA2A|hCG_28187	protein	taxon:9606	20160409	Ensembl		
GO:0006357	UniProtKB	A0A024R0Y4	TADA2L		GO_REF:0000002	IEA	InterPro:IPR016827	P	Transcriptional adapter 2-alpha	A0A024R0Y4_HUMAN|TADA2L|TADA2A|hCG_28187	protein	taxon:9606	20160409	InterPro		
GO:0007067	UniProtKB	A0A024R0Y4	TADA2L		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000018795	P	Transcriptional adapter 2-alpha	A0A024R0Y4_HUMAN|TADA2L|TADA2A|hCG_28187	protein	taxon:9606	20160409	Ensembl		
GO:0016573	UniProtKB	A0A024R0Y4	TADA2L		GO_REF:0000002	IEA	InterPro:IPR016827	P	Transcriptional adapter 2-alpha	A0A024R0Y4_HUMAN|TADA2L|TADA2A|hCG_28187	protein	taxon:9606	20160409	InterPro		
GO:0031063	UniProtKB	A0A024R0Y4	TADA2L		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000018795	P	Transcriptional adapter 2-alpha	A0A024R0Y4_HUMAN|TADA2L|TADA2A|hCG_28187	protein	taxon:9606	20160409	Ensembl		
GO:0031647	UniProtKB	A0A024R0Y4	TADA2L		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000018795	P	Transcriptional adapter 2-alpha	A0A024R0Y4_HUMAN|TADA2L|TADA2A|hCG_28187	protein	taxon:9606	20160409	Ensembl		
GO:0072686	UniProtKB	A0A024R0Y4	TADA2L		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000018795	C	Transcriptional adapter 2-alpha	A0A024R0Y4_HUMAN|TADA2L|TADA2A|hCG_28187	protein	taxon:9606	20160409	Ensembl		
GO:0090043	UniProtKB	A0A024R0Y4	TADA2L		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000018795	P	Transcriptional adapter 2-alpha	A0A024R0Y4_HUMAN|TADA2L|TADA2A|hCG_28187	protein	taxon:9606	20160409	Ensembl		
GO:0007399	UniProtKB	A0A024R154	RP11-35N6.1		GO_REF:0000002	IEA	InterPro:IPR028678	P	Lipid phosphate phosphatase-related protein type 1	A0A024R154_HUMAN|RP11-35N6.1|LPPR1|hCG_29015	protein	taxon:9606	20160409	InterPro		
GO:0016021	UniProtKB	A0A024R154	RP11-35N6.1		GO_REF:0000038	IEA	UniProtKB-KW:KW-0812	C	Lipid phosphate phosphatase-related protein type 1	A0A024R154_HUMAN|RP11-35N6.1|LPPR1|hCG_29015	protein	taxon:9606	20160410	UniProt		
GO:0004871	UniProtKB	A0A024R161	DNAJC25-GNG10		GO_REF:0000038	IEA	UniProtKB-KW:KW-0807	F	Guanine nucleotide-binding protein subunit gamma	A0A024R161_HUMAN|DNAJC25-GNG10|hCG_1994888	protein	taxon:9606	20160410	UniProt		
GO:0005834	UniProtKB	A0A024R161	DNAJC25-GNG10		GO_REF:0000002	IEA	InterPro:IPR001770|InterPro:IPR015898	C	Guanine nucleotide-binding protein subunit gamma	A0A024R161_HUMAN|DNAJC25-GNG10|hCG_1994888	protein	taxon:9606	20160409	InterPro		
GO:0007186	UniProtKB	A0A024R161	DNAJC25-GNG10		GO_REF:0000002	IEA	InterPro:IPR001770|InterPro:IPR015898	P	Guanine nucleotide-binding protein subunit gamma	A0A024R161_HUMAN|DNAJC25-GNG10|hCG_1994888	protein	taxon:9606	20160409	InterPro		
GO:0008270	UniProtKB	A0A024R1V6	PCGF2		GO_REF:0000002	IEA	InterPro:IPR001841	F	Polycomb group RING finger protein 2	A0A024R1V6_HUMAN|PCGF2|hCG_31397	protein	taxon:9606	20160409	InterPro		
GO:0000166	UniProtKB	A0A024R214	CPEB1		GO_REF:0000002	IEA	InterPro:IPR012677	F	Cytoplasmic polyadenylation element binding protein 1, isoform CRA_c	A0A024R214_HUMAN|CPEB1|hCG_26948	protein	taxon:9606	20160409	InterPro		
GO:0003676	UniProtKB	A0A024R214	CPEB1		GO_REF:0000002	IEA	InterPro:IPR000504	F	Cytoplasmic polyadenylation element binding protein 1, isoform CRA_c	A0A024R214_HUMAN|CPEB1|hCG_26948	protein	taxon:9606	20160409	InterPro		
GO:0005654	UniProtKB	A0A024R214	CPEB1		GO_REF:0000052	IDA		C	Cytoplasmic polyadenylation element binding protein 1, isoform CRA_c	A0A024R214_HUMAN|CPEB1|hCG_26948	protein	taxon:9606	20141106	HPA		
GO:0005829	UniProtKB	A0A024R216	HDGFRP3		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000102926	C	Hepatoma-derived growth factor, related protein 3, isoform CRA_a	A0A024R216_HUMAN|HDGFRP3|hCG_1811535	protein	taxon:9606	20160409	Ensembl		
GO:0007026	UniProtKB	A0A024R216	HDGFRP3		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000102926	P	Hepatoma-derived growth factor, related protein 3, isoform CRA_a	A0A024R216_HUMAN|HDGFRP3|hCG_1811535	protein	taxon:9606	20160409	Ensembl		
GO:0008017	UniProtKB	A0A024R216	HDGFRP3		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000102926	F	Hepatoma-derived growth factor, related protein 3, isoform CRA_a	A0A024R216_HUMAN|HDGFRP3|hCG_1811535	protein	taxon:9606	20160409	Ensembl		
GO:0031175	UniProtKB	A0A024R216	HDGFRP3		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000102926	P	Hepatoma-derived growth factor, related protein 3, isoform CRA_a	A0A024R216_HUMAN|HDGFRP3|hCG_1811535	protein	taxon:9606	20160409	Ensembl		
GO:0046785	UniProtKB	A0A024R216	HDGFRP3		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000102926	P	Hepatoma-derived growth factor, related protein 3, isoform CRA_a	A0A024R216_HUMAN|HDGFRP3|hCG_1811535	protein	taxon:9606	20160409	Ensembl		
GO:0003950	UniProtKB	A0A024R2X5	PARP3		GO_REF:0000003	IEA	EC:2.4.2.30	F	Poly [ADP-ribose] polymerase	A0A024R2X5_HUMAN|PARP3|hCG_42577	protein	taxon:9606	20160409	UniProt		
GO:0006302	UniProtKB	A0A024R2X5	PARP3		GO_REF:0000002	IEA	InterPro:IPR031275	P	Poly [ADP-ribose] polymerase	A0A024R2X5_HUMAN|PARP3|hCG_42577	protein	taxon:9606	20160409	InterPro		
GO:0006471	UniProtKB	A0A024R2X5	PARP3		GO_REF:0000002	IEA	InterPro:IPR004102|InterPro:IPR031275	P	Poly [ADP-ribose] polymerase	A0A024R2X5_HUMAN|PARP3|hCG_42577	protein	taxon:9606	20160409	InterPro		
GO:0000445	UniProtKB	A0A024R341	NIF3L1BP1		GO_REF:0000002	IEA	InterPro:IPR008501	C	Ngg1 interacting factor 3 like 1 binding protein 1, isoform CRA_b	A0A024R341_HUMAN|NIF3L1BP1|THOC7|hCG_23514	protein	taxon:9606	20160409	InterPro		
GO:0006397	UniProtKB	A0A024R341	NIF3L1BP1		GO_REF:0000002	IEA	InterPro:IPR008501	P	Ngg1 interacting factor 3 like 1 binding protein 1, isoform CRA_b	A0A024R341_HUMAN|NIF3L1BP1|THOC7|hCG_23514	protein	taxon:9606	20160409	InterPro		
GO:0005212	UniProtKB	A0A024R3B9	CRYAB		GO_REF:0000002	IEA	InterPro:IPR012273	F	Alpha-crystallin B chain	A0A024R3B9_HUMAN|CRYAB|hCG_1730741	protein	taxon:9606	20160409	InterPro		
GO:0001525	UniProtKB	A0A024R3W6	NRP2		GO_REF:0000002	IEA	InterPro:IPR014648|InterPro:IPR027143	P	Neuropilin 2, isoform CRA_h	A0A024R3W6_HUMAN|NRP2|hCG_15204	protein	taxon:9606	20160409	InterPro		
GO:0005021	UniProtKB	A0A024R3W6	NRP2		GO_REF:0000002	IEA	InterPro:IPR014648|InterPro:IPR027143	F	Neuropilin 2, isoform CRA_h	A0A024R3W6_HUMAN|NRP2|hCG_15204	protein	taxon:9606	20160409	InterPro		
GO:0007411	UniProtKB	A0A024R3W6	NRP2		GO_REF:0000002	IEA	InterPro:IPR014648|InterPro:IPR027143	P	Neuropilin 2, isoform CRA_h	A0A024R3W6_HUMAN|NRP2|hCG_15204	protein	taxon:9606	20160409	InterPro		
GO:0017154	UniProtKB	A0A024R3W6	NRP2		GO_REF:0000002	IEA	InterPro:IPR014648|InterPro:IPR027143	F	Neuropilin 2, isoform CRA_h	A0A024R3W6_HUMAN|NRP2|hCG_15204	protein	taxon:9606	20160409	InterPro		
GO:0038084	UniProtKB	A0A024R3W6	NRP2		GO_REF:0000002	IEA	InterPro:IPR014648|InterPro:IPR027143	P	Neuropilin 2, isoform CRA_h	A0A024R3W6_HUMAN|NRP2|hCG_15204	protein	taxon:9606	20160409	InterPro		
GO:0046872	UniProtKB	A0A024R3W6	NRP2		GO_REF:0000038	IEA	UniProtKB-KW:KW-0479	F	Neuropilin 2, isoform CRA_h	A0A024R3W6_HUMAN|NRP2|hCG_15204	protein	taxon:9606	20160410	UniProt		
GO:0071526	UniProtKB	A0A024R3W6	NRP2		GO_REF:0000002	IEA	InterPro:IPR014648|InterPro:IPR027143	P	Neuropilin 2, isoform CRA_h	A0A024R3W6_HUMAN|NRP2|hCG_15204	protein	taxon:9606	20160410	GOC		
GO:0003723	UniProtKB	A0A024R4E5	HDLBP		GO_REF:0000002	IEA	InterPro:IPR004088	F	High density lipoprotein binding protein (Vigilin), isoform CRA_a	A0A024R4E5_HUMAN|HDLBP|hCG_33048	protein	taxon:9606	20160409	InterPro		
GO:0003735	UniProtKB	A0A024R4M0	RPS9		GO_REF:0000002	IEA	InterPro:IPR005710	F	40S ribosomal protein S9	A0A024R4M0_HUMAN|RPS9|hCG_2009111	protein	taxon:9606	20160409	InterPro		
GO:0006412	UniProtKB	A0A024R4M0	RPS9		GO_REF:0000002	IEA	InterPro:IPR005710	P	40S ribosomal protein S9	A0A024R4M0_HUMAN|RPS9|hCG_2009111	protein	taxon:9606	20160409	InterPro		
GO:0015935	UniProtKB	A0A024R4M0	RPS9		GO_REF:0000002	IEA	InterPro:IPR005710	C	40S ribosomal protein S9	A0A024R4M0_HUMAN|RPS9|hCG_2009111	protein	taxon:9606	20160409	InterPro		
GO:0019843	UniProtKB	A0A024R4M0	RPS9		GO_REF:0000002	IEA	InterPro:IPR001912|InterPro:IPR018079	F	40S ribosomal protein S9	A0A024R4M0_HUMAN|RPS9|hCG_2009111	protein	taxon:9606	20160409	InterPro		
GO:0000213	UniProtKB	A0A024R4N9	TSEN34		GO_REF:0000104	IEA	UniRule:PIRNR017250	F	tRNA-splicing endonuclease subunit Sen34	A0A024R4N9_HUMAN|TSEN34|hCG_20952	protein	taxon:9606	20160409	UniProt		
GO:0000214	UniProtKB	A0A024R4N9	TSEN34		GO_REF:0000104	IEA	UniRule:PIRNR017250	C	tRNA-splicing endonuclease subunit Sen34	A0A024R4N9_HUMAN|TSEN34|hCG_20952	protein	taxon:9606	20160409	UniProt		
GO:0000379	UniProtKB	A0A024R4N9	TSEN34		GO_REF:0000104	IEA	UniRule:PIRNR017250	P	tRNA-splicing endonuclease subunit Sen34	A0A024R4N9_HUMAN|TSEN34|hCG_20952	protein	taxon:9606	20160409	UniProt		
GO:0016829	UniProtKB	A0A024R4N9	TSEN34		GO_REF:0000104	IEA	UniRule:PIRNR017250	F	tRNA-splicing endonuclease subunit Sen34	A0A024R4N9_HUMAN|TSEN34|hCG_20952	protein	taxon:9606	20160409	UniProt		
GO:0090502	UniProtKB	A0A024R4N9	TSEN34		GO_REF:0000002	IEA	InterPro:IPR006676|InterPro:IPR006677|InterPro:IPR016690	P	tRNA-splicing endonuclease subunit Sen34	A0A024R4N9_HUMAN|TSEN34|hCG_20952	protein	taxon:9606	20160410	GOC		
GO:0005730	UniProtKB	A0A024R4Q5	TFPT		GO_REF:0000052	IDA		C	TCF3 (E2A) fusion partner (In childhood Leukemia), isoform CRA_c	A0A024R4Q5_HUMAN|TFPT|hCG_20946	protein	taxon:9606	20131205	HPA		
GO:0031965	UniProtKB	A0A024R4Q5	TFPT		GO_REF:0000052	IDA		C	TCF3 (E2A) fusion partner (In childhood Leukemia), isoform CRA_c	A0A024R4Q5_HUMAN|TFPT|hCG_20946	protein	taxon:9606	20130311	HPA		
GO:0005525	UniProtKB	A0A024R571	EHD1		GO_REF:0000002	IEA	InterPro:IPR030381	F	EH domain-containing protein 1	A0A024R571_HUMAN|EHD1|hCG_23386	protein	taxon:9606	20160409	InterPro		
GO:0005769	UniProtKB	A0A024R571	EHD1		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000025684	C	EH domain-containing protein 1	A0A024R571_HUMAN|EHD1|hCG_23386	protein	taxon:9606	20160409	Ensembl		
GO:0005811	UniProtKB	A0A024R571	EHD1		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000025684	C	EH domain-containing protein 1	A0A024R571_HUMAN|EHD1|hCG_23386	protein	taxon:9606	20160409	Ensembl		
GO:0005886	UniProtKB	A0A024R571	EHD1		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000025684	C	EH domain-containing protein 1	A0A024R571_HUMAN|EHD1|hCG_23386	protein	taxon:9606	20160409	Ensembl		
GO:0006897	UniProtKB	A0A024R571	EHD1		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000025684	P	EH domain-containing protein 1	A0A024R571_HUMAN|EHD1|hCG_23386	protein	taxon:9606	20160409	Ensembl		
GO:0010008	UniProtKB	A0A024R571	EHD1		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000051714	C	EH domain-containing protein 1	A0A024R571_HUMAN|EHD1|hCG_23386	protein	taxon:9606	20160409	Ensembl		
GO:0010886	UniProtKB	A0A024R571	EHD1		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000025684	P	EH domain-containing protein 1	A0A024R571_HUMAN|EHD1|hCG_23386	protein	taxon:9606	20160409	Ensembl		
GO:0030139	UniProtKB	A0A024R571	EHD1		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000025684	C	EH domain-containing protein 1	A0A024R571_HUMAN|EHD1|hCG_23386	protein	taxon:9606	20160409	Ensembl		
GO:0031095	UniProtKB	A0A024R571	EHD1		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000025684	C	EH domain-containing protein 1	A0A024R571_HUMAN|EHD1|hCG_23386	protein	taxon:9606	20160409	Ensembl		
GO:0032456	UniProtKB	A0A024R571	EHD1		GO_REF:0000002	IEA	InterPro:IPR029951	P	EH domain-containing protein 1	A0A024R571_HUMAN|EHD1|hCG_23386	protein	taxon:9606	20160409	InterPro		
GO:0034383	UniProtKB	A0A024R571	EHD1		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000025684	P	EH domain-containing protein 1	A0A024R571_HUMAN|EHD1|hCG_23386	protein	taxon:9606	20160409	Ensembl		
GO:0042632	UniProtKB	A0A024R571	EHD1		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000025684	P	EH domain-containing protein 1	A0A024R571_HUMAN|EHD1|hCG_23386	protein	taxon:9606	20160409	Ensembl		
GO:0043209	UniProtKB	A0A024R571	EHD1		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000025684	C	EH domain-containing protein 1	A0A024R571_HUMAN|EHD1|hCG_23386	protein	taxon:9606	20160409	Ensembl		
GO:0048471	UniProtKB	A0A024R571	EHD1		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000025684	C	EH domain-containing protein 1	A0A024R571_HUMAN|EHD1|hCG_23386	protein	taxon:9606	20160409	Ensembl		
GO:1901741	UniProtKB	A0A024R571	EHD1		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000025684	P	EH domain-containing protein 1	A0A024R571_HUMAN|EHD1|hCG_23386	protein	taxon:9606	20160409	Ensembl		
GO:1990090	UniProtKB	A0A024R571	EHD1		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000051714	P	EH domain-containing protein 1	A0A024R571_HUMAN|EHD1|hCG_23386	protein	taxon:9606	20160409	Ensembl		
GO:2001137	UniProtKB	A0A024R571	EHD1		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000025684	P	EH domain-containing protein 1	A0A024R571_HUMAN|EHD1|hCG_23386	protein	taxon:9606	20160409	Ensembl		
GO:0001889	UniProtKB	A0A024R5I4	SLCO2B1		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000024281	P	Solute carrier organic anion transporter family member	A0A024R5I4_HUMAN|SLCO2B1|hCG_27402	protein	taxon:9606	20160409	Ensembl		
GO:0015125	UniProtKB	A0A024R5I4	SLCO2B1		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000024281	F	Solute carrier organic anion transporter family member	A0A024R5I4_HUMAN|SLCO2B1|hCG_27402	protein	taxon:9606	20160409	Ensembl		
GO:0015347	UniProtKB	A0A024R5I4	SLCO2B1		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000024281	F	Solute carrier organic anion transporter family member	A0A024R5I4_HUMAN|SLCO2B1|hCG_27402	protein	taxon:9606	20160409	Ensembl		
GO:0015721	UniProtKB	A0A024R5I4	SLCO2B1		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000024281	P	Solute carrier organic anion transporter family member	A0A024R5I4_HUMAN|SLCO2B1|hCG_27402	protein	taxon:9606	20160409	Ensembl		
GO:0016324	UniProtKB	A0A024R5I4	SLCO2B1		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000024281	C	Solute carrier organic anion transporter family member	A0A024R5I4_HUMAN|SLCO2B1|hCG_27402	protein	taxon:9606	20160409	Ensembl		
GO:0071718	UniProtKB	A0A024R5I4	SLCO2B1		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000024281	P	Solute carrier organic anion transporter family member	A0A024R5I4_HUMAN|SLCO2B1|hCG_27402	protein	taxon:9606	20160409	Ensembl		
GO:0005764	UniProtKB	A0A024R644	CLN5		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000022721	C	Ceroid-lipofuscinosis neuronal protein 5	A0A024R644_HUMAN|CLN5|hCG_28176	protein	taxon:9606	20160409	Ensembl		
GO:0005775	UniProtKB	A0A024R644	CLN5		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000022721	C	Ceroid-lipofuscinosis neuronal protein 5	A0A024R644_HUMAN|CLN5|hCG_28176	protein	taxon:9606	20160409	Ensembl		
GO:0007040	UniProtKB	A0A024R644	CLN5		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000022721	P	Ceroid-lipofuscinosis neuronal protein 5	A0A024R644_HUMAN|CLN5|hCG_28176	protein	taxon:9606	20160409	Ensembl		
GO:0007601	UniProtKB	A0A024R644	CLN5		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000022721	P	Ceroid-lipofuscinosis neuronal protein 5	A0A024R644_HUMAN|CLN5|hCG_28176	protein	taxon:9606	20160409	Ensembl		
GO:0022008	UniProtKB	A0A024R644	CLN5		GO_REF:0000002	IEA	InterPro:IPR026138	P	Ceroid-lipofuscinosis neuronal protein 5	A0A024R644_HUMAN|CLN5|hCG_28176	protein	taxon:9606	20160409	InterPro		
GO:0008152	UniProtKB	A0A024R6X1	CES2		GO_REF:0000038	IEA	UniProtKB-KW:KW-0378	P	Carboxylic ester hydrolase	A0A024R6X1_HUMAN|CES2|hCG_28821	protein	taxon:9606	20160410	GOC		
GO:0016787	UniProtKB	A0A024R6X1	CES2		GO_REF:0000038	IEA	UniProtKB-KW:KW-0378	F	Carboxylic ester hydrolase	A0A024R6X1_HUMAN|CES2|hCG_28821	protein	taxon:9606	20160410	UniProt		
GO:0003746	UniProtKB	A0A024R7E8	ELOF1		GO_REF:0000038	IEA	UniProtKB-KW:KW-0251	F	Elongation factor 1 homolog (S. cerevisiae), isoform CRA_a	A0A024R7E8_HUMAN|ELOF1|hCG_29982	protein	taxon:9606	20160410	UniProt		
GO:0006414	UniProtKB	A0A024R7E8	ELOF1		GO_REF:0000038	IEA	UniProtKB-KW:KW-0251	P	Elongation factor 1 homolog (S. cerevisiae), isoform CRA_a	A0A024R7E8_HUMAN|ELOF1|hCG_29982	protein	taxon:9606	20160410	UniProt		
GO:0005576	UniProtKB	A0A024R7N8	CERS1		GO_REF:0000040	IEA	UniProtKB-SubCell:SL-0243	C	Ceramide synthase 1	A0A024R7N8_HUMAN|CERS1|hCG_2045882	protein	taxon:9606	20160409	UniProt		
GO:0008083	UniProtKB	A0A024R7N8	CERS1		GO_REF:0000038	IEA	UniProtKB-KW:KW-0339	F	Ceramide synthase 1	A0A024R7N8_HUMAN|CERS1|hCG_2045882	protein	taxon:9606	20160410	UniProt		
GO:0004298	UniProtKB	A0A024RA52	PSMA2		GO_REF:0000038	IEA	UniProtKB-KW:KW-0888	F	Proteasome subunit alpha type	A0A024RA52_HUMAN|PSMA2|hCG_19883	protein	taxon:9606	20160410	UniProt		
GO:0006511	UniProtKB	A0A024RA52	PSMA2		GO_REF:0000002	IEA	InterPro:IPR000426	P	Proteasome subunit alpha type	A0A024RA52_HUMAN|PSMA2|hCG_19883	protein	taxon:9606	20160409	InterPro		
GO:0019773	UniProtKB	A0A024RA52	PSMA2		GO_REF:0000002	IEA	InterPro:IPR000426	C	Proteasome subunit alpha type	A0A024RA52_HUMAN|PSMA2|hCG_19883	protein	taxon:9606	20160409	InterPro		
GO:0006351	UniProtKB	A0A024RAC6	TCEB3		GO_REF:0000002	IEA	InterPro:IPR003617|InterPro:IPR017923	P	Transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A), isoform CRA_a	A0A024RAC6_HUMAN|TCEB3|hCG_37551	protein	taxon:9606	20160409	InterPro		
GO:0006355	UniProtKB	A0A024RAC6	TCEB3		GO_REF:0000002	IEA	InterPro:IPR010684	P	Transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A), isoform CRA_a	A0A024RAC6_HUMAN|TCEB3|hCG_37551	protein	taxon:9606	20160409	InterPro		
GO:0005840	UniProtKB	A0A024RB15	RPL41		GO_REF:0000038	IEA	UniProtKB-KW:KW-0689	C	60S ribosomal protein L41	A0A024RB15_HUMAN|RPL41|hCG_2039605	protein	taxon:9606	20160410	UniProt		
GO:0005739	UniProtKB	A0A024RBT2	DIABLO		GO_REF:0000052	IDA		C	Diablo homolog, mitochondrial	A0A024RBT2_HUMAN|DIABLO|hCG_1782202	protein	taxon:9606	20080205	HPA		
GO:0006919	UniProtKB	A0A024RBT2	DIABLO		GO_REF:0000002	IEA	InterPro:IPR009062|InterPro:IPR015142	P	Diablo homolog, mitochondrial	A0A024RBT2_HUMAN|DIABLO|hCG_1782202	protein	taxon:9606	20160409	InterPro		
GO:0005215	UniProtKB	A0A024RCG2	SLC22A18		GO_REF:0000002	IEA	InterPro:IPR001958	F	Solute carrier family 22 (Organic cation transporter), member 18, isoform CRA_a	A0A024RCG2_HUMAN|SLC22A18|hCG_16433	protein	taxon:9606	20160409	InterPro		
GO:0055085	UniProtKB	A0A024RCG2	SLC22A18		GO_REF:0000002	IEA	InterPro:IPR011701	P	Solute carrier family 22 (Organic cation transporter), member 18, isoform CRA_a	A0A024RCG2_HUMAN|SLC22A18|hCG_16433	protein	taxon:9606	20160409	InterPro		
GO:0006955	UniProtKB	A0A024RCL3	MICA		GO_REF:0000002	IEA	InterPro:IPR001039|InterPro:IPR011161	P	MHC class I polypeptide-related sequence A	A0A024RCL3_HUMAN|MICA|hCG_2001511	protein	taxon:9606	20160409	InterPro		
GO:0000902	UniProtKB	A0A024RCL9	LST1		GO_REF:0000002	IEA	InterPro:IPR007775	P	Leukocyte specific transcript 1, isoform CRA_c	A0A024RCL9_HUMAN|LST1|hCG_43689	protein	taxon:9606	20160409	InterPro		
GO:0003700	UniProtKB	A0A024RCN4	ZNF187		GO_REF:0000002	IEA	InterPro:IPR003309	F	Zinc finger and SCAN domain-containing protein 26	A0A024RCN4_HUMAN|ZNF187|ZSCAN26|hCG_31430	protein	taxon:9606	20160409	InterPro		
