Drug,Gene
DB00297,1576
DB08895,1576
DB00647,1576
DB01559,1576
DB01264,1576
DB08906,1576
DB01321,1576
DB00153,1576
DB00553,1576
DB00882,1576
DB01394,1576
DB00845,1576
DB06414,1576
DB00678,1576
DB00959,1576
DB00897,1576
DB08933,1576
DB08865,1576
DB00776,1576
DB06203,1576
DB00136,1576
DB00910,1576
DB04934,1576
DB05239,1576
DB00420,1576
DB00842,1576
DB06148,1576
DB00752,1576
DB01174,1576
DB00334,1576
DB06292,1576
DB01621,1576
DB00588,1576
DB00818,1576
DB01071,1576
DB01132,1576
DB00857,1576
DB00641,1576
DB00482,1576
DB00773,1576
DB00446,1576
DB00620,1576
DB01204,1576
DB00580,1576
DB00829,1576
DB00643,1576
DB00320,1576
DB01418,1576
DB00612,1576
DB01068,1576
DB01248,1576
DB00359,1576
DB04957,1576
DB00911,1576
DB00337,1576
DB00834,1576
DB08912,1576
DB00862,1576
DB01301,1576
DB00365,1576
DB04855,1576
DB01095,1576
DB00949,1576
DB00358,1576
DB00349,1576
DB00268,1576
DB00390,1576
DB00188,1576
DB00607,1576
DB00822,1576
DB09054,1576
DB00856,1576
DB00255,1576
DB01253,1576
DB01015,1576
DB06144,1576
DB01151,1576
DB00203,1576
DB00738,1576
DB00353,1576
DB00490,1576
DB00668,1576
DB00220,1576
DB01256,1576
DB00339,1576
DB01183,1576
DB00619,1576
DB00185,1576
DB01184,1576
DB08868,1576
DB00759,1576
DB01029,1576
DB01590,1576
DB00234,1576
DB00812,1576
DB01049,1576
DB00951,1576
DB11362,1576
DB01167,1576
DB00726,1576
DB00731,1576
DB01396,1576
DB06626,1576
DB00091,1576
DB00673,1576
DB05521,1576
DB00082,1576
DB00690,1576
DB00808,1576
DB01020,1576
DB00448,1576
DB09073,1576
DB06700,1576
DB08893,1576
DB01234,1576
DB01186,1576
DB00549,1576
DB00694,1576
DB08911,1576
DB00238,1576
DB09570,1576
DB08907,1576
DB00863,1576
DB01182,1576
DB09039,1576
DB00270,1576
DB05478,1576
DB01216,1576
DB01220,1576
DB00898,1576
DB00396,1576
DB01166,1576
DB09291,1576
DB04975,1576
DB00196,1576
DB00962,1576
DB00755,1576
DB00748,1576
DB00924,1576
DB01076,1576
DB08901,1576
DB00989,1576
DB00757,1576
DB00400,1576
DB00624,1576
DB00470,1576
DB00312,1576
DB00502,1576
DB01007,1576
DB00404,1576
DB06742,1576
DB00708,1576
DB00762,1576
DB04886,1576
DB08877,1576
DB00357,1576
DB00688,1576
DB04572,1576
DB01320,1576
DB01067,1576
DB00768,1576
DB00969,1576
DB00575,1576
DB00280,1576
DB01242,1576
DB01355,1576
DB06636,1576
DB01045,1576
DB08918,1576
DB00213,1576
DB01319,1576
DB00201,1576
DB00719,1576
DB00227,1576
DB00706,1576
DB06603,1576
DB05294,1576
DB05676,1576
DB00475,1576
DB00916,1576
DB01037,1576
DB00216,1576
DB01104,1576
DB00636,1576
DB09143,1576
DB00541,1576
DB00296,1576
DB08896,1576
DB00514,1576
DB00938,1576
DB00864,1576
DB01369,1576
DB00307,1576
DB08875,1576
DB00997,1576
DB00281,1576
DB04908,1576
DB01246,1576
DB00248,1576
DB08439,1576
DB00909,1576
DB01138,1576
DB08866,1576
DB09026,1576
DB00835,1576
DB00682,1576
DB08815,1576
DB00451,1576
DB01159,1576
DB00947,1576
DB01409,1576
DB01219,1576
DB08870,1576
DB06774,1576
DB09049,1576
DB06605,1576
DB00207,1576
DB00904,1576
DB01018,1576
DB00819,1576
DB00208,1576
DB02709,1576
DB01036,1576
DB01093,1576
DB00586,1576
DB00458,1576
DB01241,1576
DB00667,1576
DB04833,1576
DB01126,1576
DB08881,1576
DB01406,1576
DB06268,1576
DB01002,1576
DB06413,1576
DB06684,1576
DB00041,1576
DB00570,1576
DB04946,1576
DB00443,1576
DB00295,1576
DB00843,1576
DB00402,1576
DB00956,1576
DB00425,1576
DB01115,1576
DB00278,1576
DB06267,1576
DB00370,1576
DB00316,1576
DB00363,1576
DB00444,1576
DB01259,1576
DB01388,1576
DB00472,1576
DB00734,1576
DB01085,1576
DB08910,1576
DB00309,1576
DB00736,1576
DB00259,1576
DB06207,1576
DB01012,1576
DB00204,1576
DB00987,1576
DB04930,1576
DB09068,1576
DB01169,1576
DB01236,1576
DB00853,1576
DB04794,1576
DB01544,1576
DB01591,1576
DB08882,1576
DB00454,1576
DB00701,1576
DB01103,1576
DB00745,1576
DB00661,1576
DB04977,1576
DB06403,1576
DB00277,1576
DB00435,1576
DB00908,1576
DB01100,1576
DB08899,1576
DB00471,1576
DB01222,1576
DB00603,1576
DB08930,1576
DB00628,1576
DB01006,1576
DB06176,1576
DB00977,1576
DB01170,1576
DB01175,1576
DB00313,1576
DB05039,1576
DB00338,1576
DB01558,1576
DB00317,1576
DB00758,1576
DB00283,1576
DB06155,1576
DB04817,1576
DB00921,1576
DB06290,1576
DB00501,1576
DB00393,1576
DB00537,1576
DB00367,1576
DB00496,1576
DB00176,1576
DB00252,1576
DB06770,1576
DB00533,1576
DB01026,1576
DB01424,1576
DB01609,1576
DB01708,1576
DB00990,1576
DB06201,1576
DB01261,1576
DB01349,1576
DB08867,1576
DB00481,1576
DB00426,1576
DB00332,1576
DB00497,1576
DB01411,1576
DB00617,1576
DB08811,1576
DB00683,1576
DB01254,1576
DB00257,1576
DB06589,1576
DB00599,1576
DB01384,1576
DB01466,1576
DB01129,1576
DB00539,1576
DB09128,1576
DB01196,1576
DB01211,1576
DB00582,1576
DB01589,2556
DB00849,2556
DB01028,2556
DB00546,2556
DB00818,2556
DB00241,2556
DB00683,2556
DB01205,2556
DB01355,2556
DB00794,2556
DB00463,2556
DB00829,2556
DB00475,2556
DB00753,2556
DB01437,2556
DB00842,2556
DB01107,2556
DB01049,2556
DB00349,2556
DB00425,2556
DB00186,2556
DB01215,2556
DB00404,2556
DB05087,2556
DB00306,2556
DB00189,2556
DB00897,2556
DB01558,2556
DB01559,2556
DB01354,2556
DB01159,2556
DB01567,2556
DB01189,2556
DB04903,2556
DB00628,2556
DB00292,2556
DB00312,2556
DB01353,2556
DB01351,2556
DB00273,2556
DB01544,2556
DB01496,2556
DB00543,2556
DB01236,2556
DB00371,2556
DB00898,2556
DB01198,2556
DB01352,2556
DB00237,2556
DB00228,2556
DB00418,2556
DB00231,2556
DB00599,2556
DB00801,2556
DB00690,2556
DB01588,2556
DB01068,2556
DB01594,2556
DB00659,2556
DB00334,2556
DB01595,2556
DB01483,2556
DB00402,2556
DB01708,2556
DB08846,6713
DB04927,6713
DB00735,6713
DB01091,6713
DB00857,6713
DB01151,1557
DB00988,1557
DB00338,1557
DB00468,1557
DB09570,1557
DB00454,1557
DB01104,1557
DB00470,1557
DB06204,1557
DB08918,1557
DB01283,1557
DB01241,1557
DB00758,1557
DB00546,1557
DB00983,1557
DB00736,1557
DB00835,1557
DB00703,1557
DB01129,1557
DB00213,1557
DB01558,1557
DB00176,1557
DB00289,1557
DB00738,1557
DB00317,1557
DB00227,1557
DB00564,1557
DB06209,1557
DB00347,1557
DB01118,1557
DB01076,1557
DB01058,1557
DB00794,1557
DB00967,1557
DB00679,1557
DB00514,1557
DB04938,1557
DB01559,1557
DB06268,1557
DB00169,1557
DB00363,1557
DB00091,1557
DB01179,1557
DB01095,1557
DB05109,1557
DB00717,1557
DB01050,1557
DB00357,1557
DB00502,1557
DB00571,1557
DB00297,1557
DB00783,1557
DB00909,1557
DB00273,1557
DB00203,1557
DB01026,1557
DB00501,1557
DB00184,1557
DB08895,1557
DB01274,1557
DB00425,1557
DB00622,1557
DB01424,1557
DB00590,1557
DB00673,1557
DB00321,1557
DB00313,1557
DB00197,1557
DB01601,1557
DB00580,1557
DB00395,1557
DB01060,1557
DB01355,1557
DB00832,1557
DB00208,1557
DB00582,1557
DB09049,1557
DB01036,1557
DB00373,1557
DB03783,1557
DB00635,1557
DB01589,1557
DB00472,1557
DB00531,1557
DB06414,1557
DB00980,1557
DB00216,1557
DB00701,1557
DB00921,1557
DB00625,1557
DB00927,1557
DB01093,1557
DB00343,1557
DB01041,1557
DB01075,1557
DB01628,1557
DB00945,1557
DB00705,1557
DB00918,1557
DB00752,1557
DB00499,1557
DB00455,1557
DB01296,1557
DB00678,1557
DB00312,1557
DB01065,1557
DB00818,1557
DB08899,1557
DB00250,1557
DB01124,1557
DB00264,1557
DB00245,1557
DB00328,1557
DB01361,1557
DB01544,1557
DB00754,1557
DB00745,1557
DB01132,1557
DB00641,1557
DB01171,1557
DB09068,1557
DB00665,1557
DB04794,1557
DB01100,1557
DB01242,1557
DB01045,1557
DB00863,1557
DB00196,1557
DB01128,1557
DB00259,1557
DB00220,1557
DB01131,1557
DB01098,1557
DB00829,1557
DB00495,1557
DB00549,1557
DB08864,1557
DB00619,1557
DB00763,1557
DB00540,1557
DB00215,1557
DB01621,1557
DB04920,1557
DB00857,1557
DB00726,1557
DB06403,1557
DB00898,1557
DB01016,1557
DB01232,1557
DB06176,1557
DB00420,1557
DB01174,1557
DB00850,1557
DB00333,1557
DB08828,1557
DB00396,1557
DB01181,1557
DB00239,1557
DB01435,1557
DB00776,1557
DB05246,1557
DB09280,1557
DB00214,1557
DB01110,1557
DB08933,1557
DB00439,1557
DB00257,1557
DB00966,1557
DB00586,1557
DB00624,1557
DB00780,1557
DB00188,1557
DB01191,1557
DB00446,1557
DB01211,1557
DB06413,1557
DB00458,1557
DB00448,1557
DB06738,1557
DB00109,1557
DB01018,1557
DB00661,1557
DB00349,1557
DB09054,1557
DB00503,1557
DB01032,1557
DB00972,1557
DB00675,1557
DB01120,1557
DB01007,1557
DB00398,1557
DB00285,1557
DB00082,1557
DB06697,1557
DB01043,1557
DB01166,1557
DB08896,1557
DB00949,1557
DB00224,1557
DB00951,1557
DB06626,1557
DB00444,1557
DB00672,1557
DB00932,1557
DB01175,1557
DB00604,1557
DB08932,1557
DB00334,1557
DB01224,1557
DB01142,1557
DB01234,1557
DB00682,1557
DB00252,1557
DB00231,1557
DB04871,1557
DB00748,1557
DB00371,1557
DB06605,1557
DB01037,1557
DB01320,1557
DB00849,1557
DB01259,1557
DB00412,1557
DB06712,1557
DB01418,1557
DB00532,1557
DB01076,3156
DB00157,3156
DB00175,3156
DB06693,3156
DB05317,3156
DB00439,3156
DB06846,3156
DB03461,3156
DB00227,3156
DB05342,3156
DB00641,3156
DB04447,3156
DB08860,3156
DB01992,3156
DB01095,3156
DB03169,3156
DB04377,3156
DB01098,3156
DB00605,5467
DB04801,5467
DB05188,5467
DB03338,5467
DB01393,5467
DB05187,5467
DB00374,5467
DB07691,5467
DB07070,5467
DB07724,5467
DB00159,5467
DB08078,5467
DB02401,3945
DB00157,3945
DB03940,3945
DB01057,590
DB00979,590
DB04251,590
DB06756,590
DB03672,590
DB00620,590
DB00871,590
DB01035,590
DB01337,590
DB00178,590
DB00585,590
DB00772,590
DB00941,590
DB00392,590
DB01226,590
DB05875,590
DB00545,590
DB00944,590
DB01135,590
DB00527,590
DB01395,590
DB08658,590
DB00183,590
DB00674,590
DB00721,590
DB08200,590
DB05386,590
DB08893,590
DB01245,590
DB00856,590
DB00391,590
DB01010,590
DB00762,590
DB02845,590
DB00122,590
DB08897,590
DB01408,590
DB08201,590
DB02811,590
DB00989,590
DB00449,590
DB07681,590
DB07940,590
DB06774,590
DB03822,590
DB00677,590
DB00358,590
DB01364,590
DB00508,590
DB01161,590
DB03568,590
DB01116,590
DB01122,590
DB03814,590
DB00711,590
DB04250,590
DB00733,590
DB01338,590
DB00202,590
DB04920,590
DB00790,590
DB00892,590
DB00382,590
DB04892,590
DB00477,590
DB01525,590
DB00082,590
DB01400,590
DB00515,590
DB03286,5837
DB04195,5837
DB08322,5837
DB07793,5837
DB04013,5837
DB01843,5837
DB03496,5837
DB02843,5837
DB02447,5837
DB03392,5837
DB01823,5837
DB08500,5837
DB03354,5837
DB07807,5837
DB04644,5837
DB02471,5837
DB04055,5837
DB04643,5837
DB02007,5837
DB04544,5837
DB02720,5837
DB08503,5837
DB03067,5837
DB03383,5837
DB07949,5837
DB00114,5837
DB04295,5837
DB04645,5837
DB02719,5837
DB06986,5837
DB03657,5837
DB04044,5837
DB04642,5837
DB08151,5837
DB03218,5837
DB04522,5837
DB07066,5837
DB02519,5837
DB03479,5837
DB07792,5837
DB02604,5837
DB03250,5837
DB02320,5837
DB04083,5837
DB04566,5837
DB03133,5837
DB03835,5837
DB02379,5837
DB02348,5837
DB02964,5837
DB08814,10846
DB01113,10846
DB08391,10846
DB08384,10846
DB08389,10846
DB08383,10846
DB08386,10846
DB00201,10846
DB08387,10846
DB08811,10846
DB00975,10846
DB01809,5979
DB08875,5979
DB05216,5979
DB08896,5979
DB00398,5979
DB08764,5979
DB08901,5979
DB01352,2559
DB01496,2559
DB00418,2559
DB00292,2559
DB00849,2559
DB01589,2559
DB01028,2559
DB01205,2559
DB00842,2559
DB00402,2559
DB00794,2559
DB00898,2559
DB01353,2559
DB00371,2559
DB01189,2559
DB01107,2559
DB01049,2559
DB00186,2559
DB01159,2559
DB01215,2559
DB00231,2559
DB00683,2559
DB00543,2559
DB00237,2559
DB00312,2559
DB00475,2559
DB00404,2559
DB00628,2559
DB00349,2559
DB00599,2559
DB01236,2559
DB00306,2559
DB01708,2559
DB00818,2559
DB00228,2559
DB01437,2559
DB01483,2559
DB00829,2559
DB00189,2559
DB01068,2559
DB00659,2559
DB01595,2559
DB00241,2559
DB05087,2559
DB00753,2559
DB00334,2559
DB00897,2559
DB00690,2559
DB01355,2559
DB00801,2559
DB01351,2559
DB00463,2559
DB01354,2559
DB01544,2559
DB01588,2559
DB01558,2559
DB00273,2559
DB04058,1357
DB04316,1357
DB02652,1357
DB08368,1357
DB03441,1357
